x,y,z,resistivity,chargeability,profil_id
509823,459192,598,146.47,14.23,profil 11
509823,459192,598,111.57,14.88,profil 11
509823,459192,598,94.85,10.13,profil 11
509823,459192,598,335.98,14.68,profil 11
509823,459192,598,113.67,15.39,profil 11
509823,459192,598,90.05,15.41,profil 11
509823,459192,598,82.07,13.66,profil 11
509823,459192,598,88.58,17.39,profil 11
509823,459192,598,77.72,14.4,profil 11
509823,459192,598,33.26,5.31,profil 11
509823,459192,598,335.97,14.74,profil 11
509823,459192,598,366.19,12.35,profil 11
509823,459192,598,147.11,13.89,profil 11
509823,459192,598,113.74,15.44,profil 11
509823,459192,598,89.93,14.56,profil 11
509823,459192,598,82.22,14.53,profil 11
509823,459192,598,88.56,16.09,profil 11
509823,459192,598,77.76,14.14,profil 11
509823,459192,598,33.99,7.65,profil 11
509823,459192,598,335.87,14.64,profil 11
509823,459192,598,365.85,12.29,profil 11
509823,459192,598,147.06,14.68,profil 11
509823,459192,598,113.68,15.43,profil 11
509823,459192,598,89.93,14.16,profil 11
509823,459192,598,82.31,15.16,profil 11
509823,459192,598,88.33,16.29,profil 11
509823,459192,598,77.54,14.37,profil 11
509875,459190,595,950.94,14.56,profil 11
509875,459190,595,583.09,13.34,profil 11
509875,459190,595,377.84,15.04,profil 11
509875,459190,595,279.58,14.64,profil 11
509875,459190,595,269.35,16.5,profil 11
509875,459190,595,241.72,18.04,profil 11
509875,459190,595,196.52,17.21,profil 11
509875,459190,595,96.71,14.95,profil 11
509875,459190,595,58.97,16.36,profil 11
509875,459190,595,49.32,8.62,profil 11
509875,459190,595,951.27,14.62,profil 11
509875,459190,595,583.41,13.45,profil 11
509875,459190,595,377.72,14.93,profil 11
509875,459190,595,279.72,14.77,profil 11
509875,459190,595,269.25,15.83,profil 11
509875,459190,595,241.83,18.49,profil 11
509875,459190,595,196.7,17.17,profil 11
509875,459190,595,96.39,13.72,profil 11
509875,459190,595,59.1,11.95,profil 11
509875,459190,595,49.02,15.86,profil 11
509919,459191,589,665.04,11.93,profil 11
509919,459191,589,545.24,13.64,profil 11
509919,459191,589,515.35,13.52,profil 11
509919,459191,589,395.67,15.16,profil 11
509919,459191,589,467.85,16.75,profil 11
509919,459191,589,325.81,17.07,profil 11
509919,459191,589,188.03,14.84,profil 11
509919,459191,589,137.41,15.88,profil 11
509919,459191,589,108.86,17.46,profil 11
509919,459191,589,106.34,16.25,profil 11
509919,459191,589,664.77,11.93,profil 11
509919,459191,589,545.01,13.6,profil 11
509919,459191,589,515.16,13.56,profil 11
509919,459191,589,395.42,14.55,profil 11
509919,459191,589,467.66,17.55,profil 11
509919,459191,589,325.84,16.91,profil 11
509919,459191,589,187.94,15.11,profil 11
509919,459191,589,137.44,16.23,profil 11
509919,459191,589,108.86,16.77,profil 11
509919,459191,589,106.23,17.14,profil 11
509974,459190,595,488.72,15.1,profil 11
509974,459190,595,609.27,14.68,profil 11
509974,459190,595,565.71,16.4,profil 11
509974,459190,595,659.6,18.49,profil 11
509974,459190,595,492.77,18.21,profil 11
509974,459190,595,294.78,17.15,profil 11
509974,459190,595,228.03,18.25,profil 11
509974,459190,595,323.21,20.36,profil 11
509974,459190,595,323.4,20.24,profil 11
509974,459190,595,487.72,15.09,profil 11
509974,459190,595,608.04,14.58,profil 11
509974,459190,595,564.65,16.53,profil 11
509974,459190,595,658.29,18.45,profil 11
509974,459190,595,491.76,18.39,profil 11
509974,459190,595,294.4,16.74,profil 11
509974,459190,595,227.22,17.42,profil 11
509974,459190,595,188.03,22.88,profil 11
509974,459190,595,168.37,16.8,profil 11
509974,459190,595,118.0,18.09,profil 11
510021,459192,599,436.25,14.35,profil 11
510021,459192,599,523.23,16.12,profil 11
510021,459192,599,733.15,18.4,profil 11
510021,459192,599,575.27,18.66,profil 11
510021,459192,599,373.92,17.1,profil 11
510021,459192,599,303.97,18.68,profil 11
510021,459192,599,250.38,20.59,profil 11
510021,459192,599,226.44,21.21,profil 11
510021,459192,599,159.44,22.36,profil 11
510021,459192,599,124.73,20.93,profil 11
510021,459192,599,436.05,14.37,profil 11
510021,459192,599,523.0,16.11,profil 11
510021,459192,599,732.87,18.39,profil 11
510021,459192,599,574.99,18.71,profil 11
510021,459192,599,373.69,17.02,profil 11
510021,459192,599,303.84,18.51,profil 11
510021,459192,599,250.18,20.99,profil 11
510021,459192,599,226.54,20.86,profil 11
510021,459192,599,159.68,21.12,profil 11
510021,459192,599,125.13,21.26,profil 11
510072,459191,596,330.04,15.65,profil 11
510072,459191,596,655.56,18.17,profil 11
510072,459191,596,605.15,18.64,profil 11
510072,459191,596,419.32,17.28,profil 11
510072,459191,596,359.06,18.82,profil 11
510072,459191,596,303.77,21.58,profil 11
510072,459191,596,291.28,22.04,profil 11
510072,459191,596,185.61,22.65,profil 11
510072,459191,596,159.8,26.31,profil 11
510072,459191,596,109.7,20.01,profil 11
510072,459191,596,329.4,15.66,profil 11
510072,459191,596,654.28,18.16,profil 11
510072,459191,596,603.99,18.64,profil 11
510072,459191,596,418.52,17.23,profil 11
510072,459191,596,358.28,18.84,profil 11
510072,459191,596,303.11,21.73,profil 11
510072,459191,596,291.33,23.76,profil 11
510072,459191,596,184.52,18.89,profil 11
510072,459191,596,159.49,24.14,profil 11
510072,459191,596,109.46,23.63,profil 11
510122,459191,595,351.01,17.05,profil 11
